entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
MATERR'UP;TPE / PME;842959249;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LANDES;SAINT-MALO;40100;43.7110151136161, -1.2354621179200804;Cette entreprise, localisée à Saint-Geours-de-Maremne (40) est une jeune entreprise industrielle de 10 salariés spécialisée dans la production de bétons terre bas carbone. Le projet d’investissement s’inscrit dans l’industrialisation de sa technologie 3C®. Cette nouvelle génération de bétons est issue d’un ciment d’argile innovant, et le projet s’articule autour de la construction d’un bâtiment et de la mise en place de lignes de production avec l’acquisition d’outils industriels. L’objectif principal de ce projet est de régionaliser la chaîne de valeur du béton en relocalisant la production de ciment par la valorisation de la matière première locale : l’argile. Cette technologie apportera une solution à la décarbonation du secteur du bâtiment et répond à l’attente du marché de la construction.;Projets territoriaux;2021-05-05;Construction;;40.0;NOUVELLE-AQUITAINE
BOUYER LEROUX;GE;318697687;Verdissement;Soutien à la chaleur bas carbone;LOIRE;MABLY;42300;46.0919456873, 4.0633211833;Le groupe Bouyer Leroux est le premier producteur français sur les marchés des briques de mur, briques de cloison et condutis de fumée en terre cuite. Mably est l'un des 6 principaux sites de production répartis sur le territoire national avec une ligne de production de briques. Le porosant est de la biomasse finement broyée (inférieure à 3mm) que l'on injecte dans la terre avant l'étape de broyage. Le porosant et la terre sont ainsi broyés ensemble et se mélangent. Durant l'étape de combustion dans le four, le porosant inséré dans la terre joue son rôle d'apport calorifique. En plus de ce porosant, le projet prévoit l'installation d'injecteurs sciure sur le four, four où la sciure s'auto-enflammera pour apporter l'énergie de cuisson nécessaire en remplacement du gaz naturel. Ce projet vise l'installation d'une ligne de préparation du porosant à partir de plaquettes forestières et de bois en fin de vie, ainsi que l'adaptation du four de cuisson. Ce projet permettra de couvrir 53% des besoins thermiques du site et d'éviter les émissions d'environ 8 370 tonnes de CO2 d'origine fossile par an.;Soutien à la chaleur bas carbone;2021-07-28;Construction;8368.665555555555;42.0;AUVERGNE-RHÔNE-ALPES
VALEO MATERIAUX DE FRICTION;GE;43881012900025;Verdissement;Modernisation de la filière automobile;HAUTE-VIENNE;LIMOGES;87000;45.88062765121614, 1.273530766802489;"Le site Valeo de Limoges est spécialisé dans la conception et la fabrication de matériaux de friction destinés aux embrayages.
Profitant de l’expertise du site de Limoges sur les matériaux, le projet consiste à développer des solutions de friction innovantes (disques WET Friction) destinées à équiper les boîtes de vitesses pour véhicules à transmissions automatiques et électrifiés. Ce projet accompagnera la montée en gamme du site vers l’électrification tout en réduisant la consommation énergétique du processus de production.";Automobile;2021-11-02;Automobile;;87.0;NOUVELLE-AQUITAINE
EXINNOV;TPE / PME;514565332;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;GIRONDE;BORDEAUX;33200;44.8572445351, -0.57369678116;Le projet GAÏA ambitionne de moderniser et transformer un outil industriel d’extraction unique en France utilisant actuellement des solvants pétrosourcés en un procédé durable utilisant des biosolvants issus de ressources renouvelables et indépendant du pétrocarbone. Cette unité permettra de produire sur le territoire national des ingrédients alimentaires, vitamines, pigments, anti-oxydants et conservateurs naturels à destination de l'agroalimentaire. EXINNOV ambitionne d’extraire et de valoriser différents produits naturels et biologiques pour certainsl à destination du marché de l’agro-alimentaire. Grâce au projet, EXINNOV proposera sur le marché jusqu'à 1 170kg d'alpha et bêta-carotène de carottes naturels et biologiques, 1 200 tonnes de fibres de carottes naturelles et biologiques, 50 tonnes d'huile de pépins de tomates naturelle, 200 kg de co-produits riches en lycopène, 24 tonnes d'huile de germe de blé naturelle, 176 tonnes hydrolysats et extraits naturels de germe de blé et 1 280 kg de resvératrol naturel.;Relocalisation;2021-02-01;Agroalimentaire;;33.0;NOUVELLE-AQUITAINE
OXXIUS SA;TPE / PME;444437362;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;CÔTES-D'ARMOR;LANNION;22300;48.7433496707, -3.46159799691;Oxxius est spécialisée dans les modules lasers pour l’instrumentation optique. Son projet LaCIO, « Lasers et Combineurs pour l’Instrumentation Optique » a un double objectif : le premier est de continuer à apporter de l’innovation au haut de gamme des systèmes d’illumination pour les instruments des sciences de la vie et ainsi permettre à Oxxius de garder le leadership mondial en microscopie de super-résolution. Le second objectif est de tripler la capacité de production actuelle pour répondre à la croissance en volume des clients intégrateurs actuels et continuer à gagner de nouveaux clients, notamment dans les autres segments des sciences de la vie, à savoir la cytométrie en flux et séquençage ADN. Plus de 20 emplois pourraient être créés grâce à ce projet.;Relocalisation;2022-02-09;Electronique;;22.0;BRETAGNE
VIDYA EUROPE SAS;TPE / PME;751323932;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;EURE-ET-LOIR;MARSEILLE;28130;48.569793408, 1.62105336721;Ce projet porte sur la construction d'une usine certifiée de production d'extraits lipidiques biologiques obtenus par la technologie du CO2 supercritique. Technologie verte, le CO2 supercritique est la seule technologie qui permet l'obtention de ce type d'extrait sans aucun solvant. Ces ingrédients BIO sont quasiment inexistants du marché faute de solution technologique.;Relocalisation;2021-03-31;Intrants essentiels à l'industrie;;28.0;CENTRE-VAL DE LOIRE
WEYLCHEM LAMOTTE SAS;GE;483623088;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;OISE;PLESSIS-BELLEVILLE;60350;49.3995937676, 2.96594779621;L'entreprise synthétise des produits chimiques. En créant un nouvel atelier de purification issu de sa recherche en développement de procédés, WeylChem va pouvoir mettre sur le marché un nouveau produit avec de meilleures propriétés et industrialiser son procédé de purification du glyoxal.;Relocalisation;2021-03-31;Intrants essentiels à l'industrie;;60.0;HAUTS-DE-FRANCE
DAHER AEROSPACE;GE;597020841;Verdissement;Modernisation de la filière aéronautique;LOIRE-ATLANTIQUE;SAINT-AIGNAN-GRANDLIEU;44860;47.130793, -1.625785;"Daher est un grand groupe industriel constructeur et équipementier aéronautique.
Le projet de Centre d’Innovation & de Développement de Daher vise à regrouper sur une même plateforme physique adossée à l'usine de production composites, l'ensemble des compétences matériaux, design, calcul, simulation et procédés du groupe, dans le but d’accélérer l’innovation et la montée en maturité technologique des produits aéronautiques en matériaux composites organiques.";Aéronautique;2021-02-10;Aéronautique;;44.0;PAYS DE LA LOIRE
ESTEVE;TPE / PME;321523052;Verdissement;Modernisation de la filière aéronautique;HAUTE-GARONNE;TOULOUSE;31400;43.5714757112095, 1.4847465980538102;"Estève est une entreprise de mécanique de précision (tournage, fraisage) basée à Toulouse, orientée vers les marchés de l’Aéronautique, du Spatial et de la Défense. 
Le projet vise une modernisation des tours-fraiseurs, via l'optimisation des supports d'outils, ou encore l'alimentation en liquide de refroidissement intégré, permettant une augmentation de la compétitivité.";Aéronautique;2021-02-10;Aéronautique;;31.0;OCCITANIE
MPEB;TPE / PME;35191895800023;Verdissement;Modernisation de la filière aéronautique;BOUCHES-DU-RHÔNE;LES PENNES-MIRABEAU;13170;43.418906401134485, 5.295666026230424;"La société MPEB est un acteur de 1er niveau spécialisé et reconnu dans l’étude et la fabrication d’outillages pour l’aéronautique.
Grace à ce projet, la société MPEB va pouvoir moderniser son outil de production afin de renforcer son positionnement dans le secteur aéronautique mais également afin de pouvoir diversifier ses activités dans d’autres secteurs industriels à haute technicité tel que le secteur automobile.";Aéronautique;2021-11-02;Aéronautique;;13.0;PROVENCE-ALPES-CÔTE D'AZUR
NTN SNR;GE;325821072;Verdissement;Modernisation de la filière aéronautique;HAUTE-SAVOIE;ARGONAY;74370;45.9472669174, 6.14837081563;NTN-SNR est une entreprise spécialisée dans la conception et la fabrication de divers produits (e.g. roulements à billes, à rotule, à rouleaux, guidages et modules linéaires, capteurs-codeurs, etc) à destination des secteurs de l’aéronautique, de l’automobile et de l’industrie. Les produits Aéronautiques équipent les moteurs, turbines, boitiers d’accessoires et boites de transfert des principaux constructeurs aéronautiques mondiaux. Avec le projet RACER Argonay, NTN-SNR vise à moderniser son outil de production dans une logique de développement durable, digital et technologique afin de répondre aux nombreux défis du secteur et proposer à nos clients des solutions innovantes.;Aéronautique;2021-06-18;Aéronautique;;74.0;AUVERGNE-RHÔNE-ALPES
BELINK;ETI;831265772;Verdissement;Modernisation de la filière automobile;SARTHE;LA FERTÉ-BERNARD;72400;48.1842560568, 0.634694806211;"BeLink Solutions est une société de 200 personnes basée à La Ferté-Bernard 
avec des activités pour les marchés automobile, domotique et industriel : 
• R&D et prototypage ; 
• EMS : production à travers 5 Lignes CMS haute cadences ; 
• Sérigraphie ; 
• Construction de machines spéciales. 
Le projet consiste à développer, industrialiser et mettre en fonctionnement 
une ou plusieurs cellules polyvalentes robotisées d’assemblage fin de ligne en 
grande serie. Ce projet innovant permettra de proposer une solution flexible et 
économique pour effectuer en grande série l’assemblage sous boitier de cartes 
électroniques pour les clients.";Automobile;2021-04-21;Automobile;;72.0;PAYS DE LA LOIRE
PSA AUTOMOBILES SA;GE;542065479;Verdissement;Modernisation de la filière automobile;YVELINES;DELLE;78300;48.9235359371, 2.02715552772;"En tant qu’usine terminale du Groupe, le site PSA de Poissy assure la production de plusieurs modèles de véhicules de la gamme Premium Compact Thermique et électrique, depuis l’emboutissage des pièces jusqu’à l’étape finale du montage. 
Le projet a pour objectif de mener à bien une modernisation ambitieuse de l’usine en automatisant certaines opérations et en digitalisant les contrôles qualité. Il permettra notamment  au site de gagner en flexibilité et de renforcer sa compétitivité.";Automobile;2021-02-10;Automobile;;78.0;ÎLE-DE-FRANCE
PYLE INDUSTRIES;TPE / PME;512435678;Verdissement;Modernisation de la filière automobile;HAUTE-SAÔNE;DOULAINCOURT-SAUCOURT;70440;47.8257288068, 6.68597884501;"PYLE INDUSTRIES est située à Servance où elle emploie 110 personnes (1er employeur industriel du bassin de Servance). Elle est spécialisée dans la transformation de l'aluminium et l'injection des thermoplastiques. Une des forces de l’entreprise est de développer des solutions complètes et toujours novatrices qui répondent aux exigences de ses clients.
Le projet « Marché rails » a pour objectif de moderniser l’outil de production des rails de fixation qui est une pièce de structure moteur qui était auparavant en acier et est désormais en aluminium pour alléger les véhicules (électriques et hybrides principalement). Il s’agit d’une pièce complexe pour laquelle la concurrence asiatique est forte et nécessite des moyens automatisés/robotisés pour être compétitif. Plusieurs investissements sont prévus pour moderniser la ligne de production (ilot robotisé de chargement, système de vision industrielle, déformation plastique de la matière aluminium, assemblage automatique de 2 écrous, contrôle qualité caméra).
Ces investissements permettront d’assurer la compétitivité du site sur un marché en pleine croissance (transition de pièces de structures moteur en acier vers l’aluminium). A terme, ils devraient permettre de remporter de nouvelles parts de marché.";Automobile;2021-02-10;Automobile;;70.0;BOURGOGNE-FRANCHE-COMTÉ
SAS (GMD);GE;531232908;Verdissement;Modernisation de la filière automobile;CORRÈZE;BRIVE-LA-GAILLARDE;19100;45.15942805067099, 1.5331930210413887;"Le Groupe GMD, l’un des principaux équipementiers automobile français de 
rang 1, est spécialiste de l’emboutissage, la fonderie d’aluminium sous pression, 
la plasturgie et l’étanchéité. La Branche GMD Plastic & Leather Systems est 
spécialisée dans la conception, le développement et la production de solutions 
intérieures et extérieures innovantes pour l'industrie automobile. Nouveaux lauréats des fonds de modernisation automobile et aéronautique (17 mai 2021) 
23 
Le programme J Less Plastic K initié par GMD Plastic & Leather System, se 
décline en 3 volets : le procédé Coreback, le procédé NFPP back injecté et 
l’augmentation significative de matériaux recyclés dans les process de 
fabrication. Ce vaste programme assurera le lancement des projets de 
croissance, d’innovation et de diversification de la production tout en 
réduisant la masse de 10 à 25% de pièces plastiques automobile. Le programme 
J Less Plastic K augmentera de 16,5% à 25% la part de matière recyclée dans les 
pièces produites et réduira ainsi de 9 % la consommation de matière non 
recyclée.";Automobile;2021-04-21;Automobile;;19.0;NOUVELLE-AQUITAINE
SAS HANON SYSTEMS CHARLEVILLE;GE;410355028;Verdissement;Modernisation de la filière automobile;ARDENNES;MULHOUSE;8000;49.7752965803, 4.71724655966;"Le site HANONS SYSTEMS de Charleville est moteur sur son marché en ce qui concerne le refroidissement des véhicules électriques et à ce jour leader sur le refroidissement des batteries de véhicules électriques de grandes tailles.
Le but de son projet est la production d’équipements de refroidissements pour les batteries des véhicules électriques de grande taille, afin permettre aux véhicules un fonctionnement optimum dans des conditions de sécurité optimales. Pour cela,  l’outil de production sera modernisé et la façon de produire totalement repensée, qui se concrétisera notamment par la mise à disposition d’une ligne permettant la prise de pièces lourdes et de grandes taille. La cible sont les refroidisseurs de grande dimension, qui sont des pièces qui n’ont encore jamais été réalisées et qui permettent d’équiper des voitures à grande autonomie, et ainsi contribuent à l’essor de la voiture électrique.";Automobile;2021-02-10;Automobile;;8.0;GRAND EST
GEBETEX TRI NORMANDIE;TPE / PME;813156874;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;EURE;VERNON;27950;49.0939719867962, 1.4709212651413233;Le projet consiste en l’implantation d'une unité industrielle de tri de textiles usagés. Cette unité sera la plus importante et performante en France et s'inscrit dans la filière de recyclage textiles française, la relocalisation des activités, et l'ajout de valeurs ajoutées supplémentaires. Elle permettra le traitement de 11000 tonnes de textiles usagés par an.;Projets territoriaux;2021-03-02;Mode et Luxe;;27.0;NORMANDIE
"APTAR STELMI 
INJECTABLE";GE;642040000;Indépendance / Compétitivité;AMI Capacity, portant sur des capacités de production de produits thérapeutiques liés au COVID-19;MANCHE;GRANVILLE;50400;48.8327078372, -1.56670866413;Le projet «PCPAI» représente un investissement de près de 80 M€ pour développer les capacités de production  des  solutions  PremiumCoat®.  Cette  gamme  de  bouchons  pour  flacons  et  pistons  pour seringues préremplies utilise un élastomère revêtu d’un film fluoré, technologie agissant comme une barrière qui limite la migration de produits de relargage vers le médicament et améliore la stabilité des formulations sensibles. Le projet a pour but d’augmenter la capacité de production sur les sites de Granville et Brécey afin de répondre à la demande globale croissante dansle cadre de la pandémie de COVID-19. Ce développement capacitaire optimise également le processus de fabrication, et repose sur l’utilisation de technologies de robotisation et d’inspection visuelle avancées. A terme, ce projet permettra la création de 485 emplois.;Santé - Capacités Covid;2021-12-02;Santé;;50.0;NORMANDIE
MANITOU BF;ETI;857802508;Verdissement;Modernisation de la filière automobile;LOIRE-ATLANTIQUE;SAINT-SENIER-SOUS-AVRANCHES;44158;47.38756656389443, -1.184482748536178;"Manitou Group est une référence mondiale de la manutention, de l’élévation de personnes et du terrassement. Ce groupe familial conçoit, produit et distribue des matériels et services à destination de la construction, de l’agriculture et des industries.
Manitou Group fait de sa transition écologique un enjeu industriel majeur pour maintenir sa compétitivité. En développant des véhicules zéro émission (électrique, hydrogène…) et en investissant dans ses capacités industrielles et logistiques, le groupe a pour ambition de proposer des solutions durables toujours plus innovantes et faire de l’industrie française une industrie qui s’exporte.";Automobile;2021-02-10;Automobile;;44.0;PAYS DE LA LOIRE
GRAND-PERRET;TPE / PME;647050616;Verdissement;Modernisation de la filière automobile;JURA;TIGERY;39200;46.378001295245625, 5.834241624016186;"Grand-Perret emploie 95 personnes à Saint-Claude. L'entreprise est spécialisée dans l’injection de pièces plastiques à forte valeur ajoutée. La société couvre une large prestation de services : conception, développement et réalisation. Dans le domaine automobile, Grand-Perret est positionné sur le segment de la pièce technique (surmoulage de pièces complexes notamment) avec 3 domaines d’expertise : la mécatronique, le transfert de fluides et les pièces de cinématique et transmission.
Le projet a pour objectif d’automatiser le contrôle de la qualité des pièces produites. Pour cela un contrôle de l’ensemble des pièces sera réalisé via l’intégration de l’intelligence artificielle pour la détection des anomalies. L’objectif est donc d’atteindre le zéro défaut dans les pièces fournies aux clients de l’entreprise.";Automobile;2021-02-10;Automobile;;39.0;BOURGOGNE-FRANCHE-COMTÉ
ASPASIA BUI KIM KHUE;TPE / PME;330339177;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;SEINE-ET-MARNE;SAINT-NAZAIRE;77200;48.852275724479625, 2.6443049091270243;La société ASPASIA BUI KIM KHUE est spécialisée dans la fabrication et la distribution de produits frais. Le projet consiste dans un premier temps à renforcer et moderniser l'outil de production pour le site de Montfermeil. Par la suite, l'entreprise souhaite viabiliser son site de Torcy afin de le préparer à un déménagement partiel de sa production. L'entreprise envisage de créer 11 emplois à travers ce projet.;Projets territoriaux;2021-04-27;Agroalimentaire;;77.0;ÎLE-DE-FRANCE
POUDREX;TPE / PME;329021711;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;CORRÈZE;BRIVE-LA-GAILLARDE;19100;45.153168006429425, 1.5633923188449343;Relocalisation en France de productions actuellement sous-traitées en Roumanie par l'un de nos clients historiques. Ce projet se traduit industriellement par l'achat d'une machine de grenaillage à charge suspendue traversante ainsi que par l'agrandissement de notre local.;Projets territoriaux;2021-03-02;Mines et métallurgie;;19.0;NOUVELLE-AQUITAINE
Cair LGL;ETI;342014990;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;RHÔNE;SAINT-LAURENT-DE-CHAMOUSSET;69930;45.7378229671, 4.46479069472;Cair LGL est une entreprise de fabrication et de commercialisation de produits à usage unique pour la perfusion, la nutrition et la respiration dans le but d'améliorer les conditions de vie des patients. Son projet permettra de rapatrier en France, de moderniser et d’automatiser l’assemblage de ses gammes de prolongateurs de perfusions en France via l’automatisation et la robotisation des outils de production (e.g., achat d’une machine d’assemblage automatique, robots pour le collage).;Relocalisation;2022-02-09;Santé;;69.0;AUVERGNE-RHÔNE-ALPES
ALLIANCE CONCEPT;TPE / PME;38070620000025;Verdissement;Modernisation de la filière automobile;HAUTE-SAVOIE;Annecy;74960;45.8906432566, 6.12551773598;"Alliance Concept est une PME spécialisée dans la fabrication de machines de revêtement de couches minces et de contrôle d’étanchéité. La société conçoit, fabrique et assure la maintenance d’équipements utilisant les techniques du vide : dépôt de couches minces, test d'étanchéité et bâti de pompage. 
Le projet Hard Coat vise à concevoir et fabriquer une nouvelle gamme de machines à dépôt de couches dures, ce qui permettra de diversifier les activités de l’entreprise. Ces traitements de surface réalisés dans ces équipements permettent d'apporter des nouvelles solutions techniques d’usinage face à l'arrivée de matériaux de plus en plus durs dans les différents secteurs industriels.";Automobile;2022-02-03;Automobile;;74.0;AUVERGNE-RHÔNE-ALPES
SOCIETE NYOISIENNE D'ELECTROLYSE;TPE / PME;321616724;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MAINE-ET-LOIRE;SEGRÉ-EN-ANJOU BLEU;49500;47.7016654227, -0.863354104119;;Projets territoriaux;2021-03-02;Mines et métallurgie;;49.0;PAYS DE LA LOIRE
GROUPE RIOLAND;ETI;337544720;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;INDRE;CHALAMPÉ;36110;47.110305792420085, 1.545590532361321;Le GROUPE RIOLAND (620 salariés) est un groupe familial en pleine croissance, façonnier dans la maroquinerie et implanté depuis plus de 80 ans dans le Berry. Son projet d’extension doit permettre la relocalisation en France de la fabrication de composants et accessoires fabriqués en Asie, et de permettre la croissance de ses capacités de production, comme souhaitée par ses clients.;Projets territoriaux;2021-03-12;Mode et Luxe;;36.0;CENTRE-VAL DE LOIRE
LES CHARCUTIERS D'ALSACE;TPE / PME;334052776;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;BAS-RHIN;REICHSTETT;67720;48.6474873068, 7.75703020685;Etude et réalisation d’une nouvelle unité de production de produits de charcuterie alsacienne, dotée de moyens techniques renouvelés, permettant d’accueillir, dans des conditions optimisées de sécurité sanitaire et de maîtrise des énergies, les activités actuelles et futures de la société LES CHARCUTIERS D’ALSACE Sàrl complétées du développement d’activité pérenne espéré du partenariat exclusif en cours de négociation avec la filière porcine alsacienne.;Projets territoriaux;2021-03-02;Agroalimentaire;;67.0;GRAND EST
SOREDAB;TPE / PME;317705267;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;YVELINES;ABBEVILLE;78125;48.6898883767, 1.66775518226;L'objectif du projet est de développer une offre large et qualitative d'alternatives végétales aux fromages laitiers. La recherche et la production seront basées en France, et à terme l'approvisionnement en matières premières végétales sera majoritairement français, offrant des nouveaux débouchés à ces filières de production contribuant à notre autonomie protéique.;Relocalisation;2021-03-31;Agroalimentaire;;78.0;ÎLE-DE-FRANCE
PRECICAST;TPE / PME;596920413;Verdissement;Modernisation de la filière aéronautique;LOIR-ET-CHER;THORÉ-LA-ROCHETTE;41100;47.7859819999, 0.970946922736;"PRECICAST est une PME créée en 1969 et située dans le Loir-et-Cher. Elle est spécialisée dans la fonderie par le procédé dit « de cire perdue » et dans la coulée sous vide. Ce savoir-faire rare lui permet de transformer des alliages complexes et de réaliser des pièces techniques pour le secteur aéronautique. 
Le projet de PRECICAST consiste à moderniser et automatiser l’outil de production par l’acquisition de nouveaux équipements parmi lesquels, l’automatisation de la distribution de sable d’une installation de céramique robotisée, la supervision de fours de coulée, des matériels d’injection et de calibrage numérique, un logiciel de FAO pour centre d’usinage numérique... Le projet ambitionne également de développer la R&D afin d’être en mesure de réaliser des pièces de plus grande dimension.";Aéronautique;2021-02-10;Aéronautique;;41.0;CENTRE-VAL DE LOIRE
BOVETTI CHOCOLATS;TPE / PME;397702093;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;DORDOGNE;SAINT-PIERRE;24120;45.12718171876642, 1.3218663477533683;L’entreprise, productrice de chocolats fins, est détentrice d’un savoir-faire artisanal reconnu et pourvoyeuse d’emplois (28 salariés) sur le bassin de Terrasson-Brive en territoire industrie. L’acquisition de 3 nouvelles lignes de production et le réaménagement de l’atelier, contribueront au développement de ses capacités de production en bio et à anticiper une hausse de la demande sur ce type de produits en 2021. Le projet participera à une augmentation de la croissance de l’entreprise de 10% à 20% sur les 3 prochaines années et à sa consolidation sur son territoire pour pérenniser les 28 emplois et envisager 2 à 3 recrutements par an à horizon 2023.;Projets territoriaux;2021-05-05;Agroalimentaire;;24.0;NOUVELLE-AQUITAINE
CROCK;TPE / PME;397799438;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;EURE-ET-LOIR;CELLES-SUR-DUROLLE;28800;48.19764759654818, 1.4006996673713965;Spécialisée dans la fabrication de sandwichs frais et de viennoiserie sous la marque Crocwich, CROCK assure la production de ses produits au sein de son atelier (boulangerie industrielle et lignes d’assemblage de sandwichs) et leur distribution avec sa propre flotte de véhicules frigorifiques auprès d’une clientèle de professionnels de la restauration hors foyer (distribution automatique, cuisines centrales, parcs d’attractions, organisateurs d’événements…). Pour accélérer sa croissance suite à l’impact de la crise sanitaire actuelle, CROCK souhaite élargir son offre actuelle avec des sandwiches haut de gamme, des salades, des plats préparés et des plats à cuisiner et, en parallèle, diversifier sa clientèle grâce à une distribution mobile de proximité (food trucks et livraison à domicile) et à la création d’un site internet de vente de box de plats cuisinés et à cuisiner. Pour cela, une extension des locaux et un aménagement de son site industriel est nécessaire ainsi que la création d’un nouveau réseau régional de distribution assurant la promotion d’une production locale. Ce projet permettra de maintenir les 18 emplois actuels et surtout de créer 13 emplois nouveaux.;Projets territoriaux;2021-04-20;Agroalimentaire;;28.0;CENTRE-VAL DE LOIRE
DIAM;ETI;800891004;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PYRÉNÉES-ORIENTALES;CÉRET;66540;42.499889649304485, 2.761941671231334;DIAM France, leader mondial des bouchons technologiques en liège, filiale du groupe Oeneo, produit annuellement 2,4 milliards de bouchons. Elle propose des solutions innovantes pour répondre aux enjeux des vignerons et dispose d’une gamme de bouchons capables de maitriser l'apport en oxygène. Le programme industriel prévoit l’extension de ses installations à Céret (179 emplois), l’augmentation de ses capacités de production et la modernisation de ses équipements industriels et logistiques basé sur les technologies de l’Usine 4.0.;Projets territoriaux;2021-08-05;Agroalimentaire;;66.0;OCCITANIE
NOVALIX;TPE / PME;444361851;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;BAS-RHIN;ILLKIRCH GRAFFENSTADEN;67400;48.52165743412943, 7.740643718967638;NovAliX est une entreprise spécialisée dans la découverte de médicaments qui souhaite participer  au développement d’une production de principes actifs pharmaceutiques l’entreprise va développer  un outil de production innovant utilisant notamment la chimie en flux(API) sur le territoire français. Grâce à ce projet en collaboration avec les sociétés Alysophil, Bruker et De Dietrich,  continu et l’intelligence artificielle pour proposer une production locale et durable  continu et l’intelligence artificielle pour proposer une production locale et durable d’API. Une dizaine d’emplois devraient être créés;Relocalisation;2021-10-26;Intrants essentiels à l'industrie;;67.0;GRAND EST
LA BRASSERIE DU BOUFFAY;TPE / PME;419512322;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIRE-ATLANTIQUE;CARQUEFOU;44980;47.31053484424481, -1.5072334368978422;"Notre implantation et Matériel actuels ne nous permettent plus de répondre à notre croissance constante sur les dernières années (hormis année 2020) et, encore plus, à des modifications du marché (type de produits et conditionnement) face à la crise que nous subissons actuellement.
Ce qui était envisageable à moyen terme, est devenu urgent à court terme :
Création d’un nouveau site plus vaste, modernisé, apte à répondre à toute évolution du marché.";Projets territoriaux;2021-03-02;Agroalimentaire;;44.0;PAYS DE LA LOIRE
TRICOTS SAINT-JAMES;ETI;405750753;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MANCHE;SAINT-JAMES;50240;48.5257483373, -1.32634914406;Avant la crise sanitaire Covid-19, il avait été prévu l’extension de notre site industriel. Il s’agit d'abord de l’agrandissement de notre atelier de production pour l’implantation de machines de coupe automatisée. Ce qui conduit à la réorganisation de notre logistique par le regroupement de deux sites en optimisant le stockage de nos collections. Enfin l'extension de bâtiment avec la création de surfaces supplémentaires, afin de libérer de la place pour la production, et l’ajout de salles d'accueil permettant la valorisation de la marque Saint-James.;Projets territoriaux;2021-03-02;Mode et Luxe;;50.0;NORMANDIE
SOURIAU;GE;421320268;Verdissement;Modernisation de la filière aéronautique;HAUTE-SAVOIE;CLUSES;74000;46.0631088613, 6.57892080059;SOURIAU est spécialisée dans les solutions d’interconnexion électriques et optiques, en particulier pour environnements sévères. L’entreprise étudie et fabrique en France des composants connecteurs et accessoires standardisés mais aussi des harnais et sous-systèmes d’interconnexion complexes. Le projet consiste à digitaliser et automatiser la fabrication de harnais optiques complexes en adaptant des technologies télécom aux spécificités des besoins nouveaux de l’aéronautique embarquée, prévoyant notamment l'application dans les années à venir de la fibre optique dans les environnements sévères.;Aéronautique;2021-02-10;Aéronautique;;74.0;AUVERGNE-RHÔNE-ALPES
ELEKTO INDUSTRIE;TPE / PME;378559546;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MAYENNE;MONTBRISON;53240;48.17204559931317, -0.7944161889181465;ELEKTO INDUSTRIE est une société spécialisée dans la sous-traitance électronique et la production de cartes électroniques assemblées (petites et moyennes séries à haute valeur ajoutée). Elle souhaite poursuivre sa trajectoire de modernisation 4.0 dans le prolongement de sa participation à l'accélérateur PME/PMI de la BPI (diagnostic 360°) via un projet d’investissement visant l’intégration de nouvelles briques technologiques à sa chaîne de production (robotisation, digitalisation, automatisation). 1,1M€. 15 créations.;Projets territoriaux;2021-06-03;Electronique;;53.0;PAYS DE LA LOIRE
EMKA ELECTRONIQUE;TPE / PME;394765689;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;LOIR-ET-CHER;PRUNIERS-EN-SOLOGNE;41200;47.4034848676, 1.84312740656;Spécialisée dans la sous-traitance électronique et électrotechnique, l’entreprise souhaite aujourd’hui investir dans la transformation numérique de son modèle logistique et de ses flux de production en se positionnant sur la fabrication des dispositifs médicaux. Ce projet permettra de construire une expertise en la matière et de renforcer la résilience de cette industrie, en plus de créer une quarantaine d’emplois.;Relocalisation;2021-02-23;Electronique;;41.0;CENTRE-VAL DE LOIRE
